document,date,entorno,WordCount,SentimentGI,NegativityGI,PositivityGI,SentimentHE,NegativityHE,PositivityHE,SentimentLM,NegativityLM,PositivityLM,RatioUncertaintyLM,SentimentQDAP,NegativityQDAP,PositivityQDAP
37,2012-07-01,national,36,0.027777777777777776,0.05555555555555555,0.08333333333333333,0,0.05555555555555555,0.05555555555555555,-0.027777777777777776,0.027777777777777776,0,0,0,0.027777777777777776,0.027777777777777776
38,2012-07-01,national,28,0.07142857142857142,0,0.07142857142857142,0.03571428571428571,0,0.03571428571428571,0,0,0,0,0.03571428571428571,0,0.03571428571428571
39,2012-07-01,both,45,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.022222222222222223,0,0.022222222222222223,0.022222222222222223,0,0.022222222222222223,0,0.044444444444444446,0,0.044444444444444446
40,2012-08-01,national,38,0,0.02631578947368421,0.02631578947368421,0,0,0,0,0,0,0,0.02631578947368421,0.02631578947368421,0.05263157894736842
41,2012-08-01,national,49,0.061224489795918366,0,0.061224489795918366,-0.02040816326530612,0.02040816326530612,0,0,0,0,0,0.02040816326530612,0,0.02040816326530612
42,2012-08-01,international,99,0,0.010101010101010102,0.010101010101010102,0.050505050505050504,0,0.050505050505050504,0,0.010101010101010102,0.010101010101010102,0,0.020202020202020204,0,0.020202020202020204
43,2012-08-01,national,71,0.028169014084507043,0,0.028169014084507043,0.028169014084507043,0.014084507042253521,0.04225352112676056,0,0,0,0,0.014084507042253521,0,0.014084507042253521
44,2012-08-01,national,58,0.017241379310344827,0.017241379310344827,0.034482758620689655,0.017241379310344827,0,0.017241379310344827,0.034482758620689655,0,0.034482758620689655,0.017241379310344827,0,0.017241379310344827,0.017241379310344827
45,2012-08-01,both,39,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0,0.02564102564102564,0.02564102564102564,0,0.02564102564102564,0,0.05128205128205128,0,0.05128205128205128
46,2012-09-01,national,34,0.029411764705882353,0,0.029411764705882353,0,0,0,0,0,0,0,0.058823529411764705,0,0.058823529411764705
47,2012-09-01,national,59,0.01694915254237288,0.03389830508474576,0.05084745762711865,0,0.03389830508474576,0.03389830508474576,-0.01694915254237288,0.01694915254237288,0,0,0,0.01694915254237288,0.01694915254237288
48,2012-09-01,international,66,0,0.030303030303030304,0.030303030303030304,0,0.015151515151515152,0.015151515151515152,-0.015151515151515152,0.015151515151515152,0,0,0.015151515151515152,0,0.015151515151515152
49,2012-09-01,national,70,0.02857142857142857,0.02857142857142857,0.05714285714285714,-0.02857142857142857,0.02857142857142857,0,0.014285714285714285,0,0.014285714285714285,0,0.02857142857142857,0.014285714285714285,0.04285714285714286
50,2012-09-01,national,39,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0,0.02564102564102564,0.02564102564102564,0,0.02564102564102564,0,0.05128205128205128,0,0.05128205128205128
51,2012-10-01,national,30,0.03333333333333333,0,0.03333333333333333,0,0,0,0,0,0,0,0.03333333333333333,0,0.03333333333333333
52,2012-10-01,national,74,-0.013513513513513514,0.02702702702702703,0.013513513513513514,0,0.02702702702702703,0.02702702702702703,-0.013513513513513514,0.013513513513513514,0,0.013513513513513514,0,0.013513513513513514,0.013513513513513514
53,2012-10-01,international,70,0,0.02857142857142857,0.02857142857142857,0,0,0,-0.02857142857142857,0.02857142857142857,0,0.014285714285714285,-0.014285714285714285,0.02857142857142857,0.014285714285714285
54,2012-10-01,national,44,0.06818181818181818,0,0.06818181818181818,-0.022727272727272728,0.022727272727272728,0,0,0,0,0,0.022727272727272728,0,0.022727272727272728
55,2012-10-01,both,39,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0,0.02564102564102564,0.02564102564102564,0,0.02564102564102564,0,0.05128205128205128,0,0.05128205128205128
56,2012-11-01,national,32,0.03125,0,0.03125,0,0,0,0,0,0,0,0.0625,0,0.0625
57,2012-11-01,national,71,-0.028169014084507043,0.056338028169014086,0.028169014084507043,-0.014084507042253521,0.04225352112676056,0.028169014084507043,-0.028169014084507043,0.028169014084507043,0,0,0,0.028169014084507043,0.028169014084507043
58,2012-11-01,international,75,-0.013333333333333334,0.013333333333333334,0,0.05333333333333334,0,0.05333333333333334,0,0,0,0.013333333333333334,0,0,0
59,2012-11-01,national,38,0.07894736842105263,0.02631578947368421,0.10526315789473684,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.05263157894736842,0,0.05263157894736842,0,0.05263157894736842
60,2012-11-01,both,42,0.023809523809523808,0.023809523809523808,0.047619047619047616,0,0,0,0,0,0,0,0.047619047619047616,0,0.047619047619047616
61,2012-12-01,national,27,0.037037037037037035,0,0.037037037037037035,0,0,0,0,0,0,0,0.037037037037037035,0,0.037037037037037035
62,2012-12-01,national,73,0,0.0547945205479452,0.0547945205479452,-0.0273972602739726,0.0273972602739726,0,-0.0136986301369863,0.0136986301369863,0,0,0.0273972602739726,0.0273972602739726,0.0547945205479452
63,2012-12-01,international,102,0.0196078431372549,0.029411764705882353,0.049019607843137254,0.00980392156862745,0.00980392156862745,0.0196078431372549,-0.029411764705882353,0.029411764705882353,0,0.0196078431372549,-0.00980392156862745,0.0392156862745098,0.029411764705882353
