document,date,entorno,WordCount,SentimentGI,NegativityGI,PositivityGI,SentimentHE,NegativityHE,PositivityHE,SentimentLM,NegativityLM,PositivityLM,RatioUncertaintyLM,SentimentQDAP,NegativityQDAP,PositivityQDAP
133,2013-12-01,both,47,0,0.0425531914893617,0.0425531914893617,0,0,0,-0.02127659574468085,0.02127659574468085,0,0,0.0425531914893617,0,0.0425531914893617
134,2013-12-01,national,48,0.020833333333333332,0.041666666666666664,0.0625,0.0625,0,0.0625,0.020833333333333332,0,0.020833333333333332,0,0.041666666666666664,0,0.041666666666666664
135,2013-12-01,both,47,0,0.0425531914893617,0.0425531914893617,0,0,0,-0.02127659574468085,0.02127659574468085,0,0,0.0425531914893617,0,0.0425531914893617
136,2014-01-01,national,18,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2014-01-01,national,63,0.015873015873015872,0.031746031746031744,0.047619047619047616,-0.06349206349206349,0.06349206349206349,0,-0.015873015873015872,0.015873015873015872,0,0,0,0.031746031746031744,0.031746031746031744
138,2014-01-01,international,62,0.03225806451612903,0,0.03225806451612903,0.06451612903225806,0,0.06451612903225806,0.016129032258064516,0,0.016129032258064516,0,0.016129032258064516,0,0.016129032258064516
139,2014-01-01,international,80,-0.0125,0.025,0.0125,0.0125,0,0.0125,-0.0125,0.0125,0,0,0.025,0,0.025
140,2014-01-01,international,127,0.015748031496062992,0.023622047244094488,0.03937007874015748,0.023622047244094488,0.015748031496062992,0.03937007874015748,0.015748031496062992,0.007874015748031496,0.023622047244094488,0,0.015748031496062992,0,0.015748031496062992
141,2014-01-01,national,80,0,0.0375,0.0375,0,0.0125,0.0125,-0.0125,0.0125,0,0.0125,0,0.0125,0.0125
142,2014-01-01,both,43,0,0.046511627906976744,0.046511627906976744,0,0,0,-0.023255813953488372,0.023255813953488372,0,0,0.046511627906976744,0,0.046511627906976744
143,2014-02-01,national,15,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2014-02-01,national,63,-0.015873015873015872,0.015873015873015872,0,0,0,0,-0.015873015873015872,0.015873015873015872,0,0,-0.015873015873015872,0.015873015873015872,0
145,2014-02-01,international,67,0.014925373134328358,0,0.014925373134328358,0,0,0,0,0,0,0,-0.014925373134328358,0.014925373134328358,0
146,2014-02-01,international,66,0.030303030303030304,0.015151515151515152,0.045454545454545456,-0.015151515151515152,0.030303030303030304,0.015151515151515152,-0.015151515151515152,0.015151515151515152,0,0,0.015151515151515152,0,0.015151515151515152
147,2014-02-01,national,64,0.0625,0.03125,0.09375,0.03125,0,0.03125,-0.015625,0.015625,0,0,0.015625,0.015625,0.03125
148,2014-02-01,both,43,0,0.046511627906976744,0.046511627906976744,0,0,0,-0.023255813953488372,0.023255813953488372,0,0,0.046511627906976744,0,0.046511627906976744
149,2014-03-01,national,20,0.05,0,0.05,0,0,0,0,0,0,0,0.05,0,0.05
150,2014-03-01,national,61,0,0.01639344262295082,0.01639344262295082,-0.04918032786885246,0.04918032786885246,0,0,0,0,0.01639344262295082,-0.01639344262295082,0.01639344262295082,0
151,2014-03-01,international,117,0.017094017094017096,0.05128205128205128,0.06837606837606838,0.008547008547008548,0.03418803418803419,0.042735042735042736,0.008547008547008548,0,0.008547008547008548,0,0.05128205128205128,0,0.05128205128205128
